date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,return
2024-06-21,531.9176025390625,Range,-11,-267.9383075517148,959042.8279046875,-0.24358027959246797,0.04823127282822578,31.205914948950394,82.62792052794073,-0.015484589200471355
2024-06-24,530.1885375976562,Range,-15,-670.4581221300314,956565.4714582914,-0.4469720814200209,0.046508538975386614,24.98656400814242,66.46083766049773,-0.0025831551775520323
2024-06-25,532.2302856445312,Range,7,212.64774596670293,968828.8343108188,-0.30378249423814707,0.061458958581208,24.787809815249382,151.26568311550258,0.01282020229502101
2024-06-26,532.8945922851562,Range,5,137.6755669315848,967490.3130589362,-0.2753511338631696,0.0737226161326868,21.800562617582276,12.76349552468142,-0.00138158692689494
2024-06-27,533.7347412109375,Range,4,80.31136184179869,966807.4828905746,-0.2007784046044967,0.09294806650575589,18.36545307670352,9.493789073487976,-0.0007057746823352362
2024-06-28,531.63427734375,Range,15,1136.5893296288687,970497.7841145169,-0.7577262197525791,0.0723877243569221,6.74394688068839,172.0317992434422,0.003816996960872787
2024-07-01,532.7285766601562,Range,5,92.26542762228263,968907.0982871775,-0.18453085524456525,0.05812283502633997,34.469738189502195,176.78416174342118,-0.0016390411738969046
2024-07-02,536.3135986328125,Range,4,-101.03855995150246,968458.1936111231,0.25259639987875615,0.06343576773167021,31.345880354066445,31.550751345530237,-0.00046331033888380446
2024-07-03,538.7069702148438,Range,8,-446.06338098409316,970634.6316148491,0.5575792262301165,0.05394989491421347,22.538834243312504,57.772966368491964,0.0022473226186570106
2024-07-05,541.8134155273438,Range,20,-1702.8200727747737,979625.4328138107,0.8514100363873869,0.027936279817354345,9.593467688396403,212.4116285227845,0.009262806936945589
2024-07-08,542.4385986328125,Range,20,-1929.4745364467672,979007.0840449485,0.9647372682233837,0.011749615134627887,2.5741622262583896,36.883838894432344,-0.0006312093869246249
2024-07-09,542.9661865234375,Range,20,-1987.595035718467,978760.5609016467,0.9937975178592335,0.0031358587453614237,0.45598751568764384,9.467239754517923,-0.0002518093559478185
2024-07-10,548.3389282226562,Range,20,-1999.9999864677945,978622.8387394184,0.9999999932338972,8.589832806236149e-09,6.964881694853951e-07,2.0406352195623323,-0.0001407107802764429
2024-07-11,543.61083984375,Range,6,42.781773961803005,964402.616329826,-0.07130295660300501,0.054026972156843114,36.000466690301174,346.94738301035454,-0.01453085074931404
2024-07-12,547.0397338867188,Range,7,-208.1995698956498,965142.4707513475,0.29742795699378544,0.05295405000128471,31.30704287113472,41.72573177698406,0.0007671634325683296
2024-07-15,548.5440673828125,Range,9,-445.79402388541416,965913.4451165135,0.4953266932060157,0.052226057062932804,24.674881510248373,40.159044469673184,0.0007988192298342689
2024-07-16,551.7970581054688,Range,20,-1608.4918956938943,974377.1795472531,0.804245947846947,0.03077864196335345,12.010585410486202,200.10125593599167,0.00876241496950958
2024-07-17,544.0601806640625,Range,16,127.31143030093826,979005.7846358665,-0.07956964393808641,0.06469203182795075,23.564085799688787,285.087816603829,0.00475032172937806
2024-07-18,539.8792724609375,Range,20,1326.5634487244106,982063.4209646975,-0.6632817243622053,0.04950766573087607,12.095372376847104,196.33561725395742,0.003123205579391275
