date,close,regime,contracts,shares,capital,delta,gamma,vega,friction,kelly,edge,band,return
2024-04-08,505.0945739746094,Range,8,517.8951786700812,106737.71727886991,-0.6473689733376016,0.10296203057835414,23.30877858195676,0.0,0.25,0.9049129634640272,9.53092157266682,0.00015976893077462861
2024-04-09,505.6788330078125,Range,11,853.7012774734013,107563.76507616777,-0.7760920704303649,0.11026304412365437,12.131702092776612,0.0,0.25,0.8779657665990281,12.344707705374642,0.007739043126991918
2024-04-10,500.6154479980469,Range,11,-120.04916936105678,106783.35792667698,0.10913560851005166,0.08115674047152568,65.94849453056113,0.0,0.13851679391518432,0.3462919847879608,9.999661745245833,-0.0072552978127733425
2024-04-11,504.3935241699219,Range,11,-477.0838512839815,106572.4083592471,0.4337125920763469,0.07718789879736666,52.681458216093894,0.0,0.25,0.828868099140422,9.718950658634855,-0.0019754910458493757
2024-04-12,497.4313659667969,Range,11,201.07905599237745,109028.30019059834,-0.18279914181125229,0.08803904799814827,54.43221995942537,0.0,0.006349615327517518,0.015874038318793793,10.51122619838158,0.0230443495569006
2024-04-15,491.199462890625,Range,12,815.2767411801607,111603.82613889524,-0.6793972843168006,0.0582987644025194,30.151917071328427,0.0,0.09614165808232283,0.24035414520580706,8.39123192359656,0.02362254519050988
2024-04-16,490.3036193847656,Range,14,1132.6989707203552,113146.46736997725,-0.8090706933716822,0.047771764662687774,18.14888247653846,0.0,0.25,0.7537691023595685,8.13287005667322,0.013822476204015999
2024-04-17,487.40185546875,Range,20,1935.7519537228534,120744.37469464746,-0.9678759768614267,0.014072660445923224,3.4876342914537077,0.0,0.22641353210020274,0.5660338302505068,4.548874532942077,0.06715107860880742
2024-04-18,486.3988952636719,Range,20,1998.5626271598505,120858.20807589294,-0.9992813135799252,0.0006648139443488054,0.08016879319444631,0.0,0.25,0.6384277177326039,0.5936051353338982,0.0009427634333554202
2024-04-19,482.1535339355469,Range,20,-454.7745867363162,101721.24438778622,0.22738729336815805,0.07724103977621861,61.49544501275895,0.0,0.25,0.6773106339285412,14.056588513934932,-0.15834227557047387
2024-04-22,486.5937194824219,Range,20,-1086.888141115354,102758.8078856291,0.5434440705576771,0.06203649962031736,45.405849432030486,0.0,0.1636364121593417,0.4090910303983542,12.219148977298632,0.010200066899372917
2024-04-23,,Range,0,,77053.31518893945,,,,0.0,,,,-0.2501536678520049
2024-04-24,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-04-25,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-04-26,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-04-29,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-04-30,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-01,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-02,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-03,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-06,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-07,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-08,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-09,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-10,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-13,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-14,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-15,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-16,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-17,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-20,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-21,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-22,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-23,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-24,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-28,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-29,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-30,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-05-31,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-03,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-04,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-05,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-06,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-07,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-10,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-11,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-12,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-13,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
2024-06-14,,Range,0,,77053.31518893945,,,,0.0,,,,0.0
